Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance
     306	01:00:45:12	F003C005_190925_MN99	01:00:45:12	INF
     307	01:00:45:13	F003C005_190925_MN99	01:00:45:13	INF
     308	01:00:45:14	F003C005_190925_MN99	01:00:45:14	INF
     309	01:00:45:15	F003C005_190925_MN99	01:00:45:15	INF
     310	01:00:45:16	F003C005_190925_MN99	01:00:45:16	INF
     311	01:00:45:17	F003C005_190925_MN99	01:00:45:17	INF
     312	01:00:45:18	F003C005_190925_MN99	01:00:45:18	INF
     313	01:00:45:19	F003C005_190925_MN99	01:00:45:19	INF
     314	01:00:45:20	F003C005_190925_MN99	01:00:45:20	INF
     315	01:00:45:21	F003C005_190925_MN99	01:00:45:21	INF
     316	01:00:45:22	F003C005_190925_MN99	01:00:45:22	INF
     317	01:00:45:23	F003C005_190925_MN99	01:00:45:23	INF
     318	01:00:46:00	F003C005_190925_MN99	01:00:46:00	INF
     319	01:00:46:01	F003C005_190925_MN99	01:00:46:01	INF
     320	01:00:46:02	F003C005_190925_MN99	01:00:46:02	INF
     321	01:00:46:03	F003C005_190925_MN99	01:00:46:03	INF
     322	01:00:46:04	F003C005_190925_MN99	01:00:46:04	INF
     323	01:00:46:05	F003C005_190925_MN99	01:00:46:05	INF
     324	01:00:46:06	F003C005_190925_MN99	01:00:46:06	INF
     325	01:00:46:07	F003C005_190925_MN99	01:00:46:07	INF
     326	01:00:46:08	F003C005_190925_MN99	01:00:46:08	INF
     327	01:00:46:09	F003C005_190925_MN99	01:00:46:09	INF
     328	01:00:46:10	F003C005_190925_MN99	01:00:46:10	INF
     329	01:00:46:11	F003C005_190925_MN99	01:00:46:11	INF
     330	01:00:46:12	F003C005_190925_MN99	01:00:46:12	INF
     331	01:00:46:13	F003C005_190925_MN99	01:00:46:13	INF
     332	01:00:46:14	F003C005_190925_MN99	01:00:46:14	INF
     333	01:00:46:15	F003C005_190925_MN99	01:00:46:15	INF
     334	01:00:46:16	F003C005_190925_MN99	01:00:46:16	INF
     335	01:00:46:17	F003C005_190925_MN99	01:00:46:17	INF
     336	01:00:46:18	F003C005_190925_MN99	01:00:46:18	INF
     337	01:00:46:19	F003C005_190925_MN99	01:00:46:19	INF
