Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
     201	00:35:07:20	A001C025_211130_ROI7	00:35:07:20	1.802	18.137
     202	00:35:07:21	A001C025_211130_ROI7	00:35:07:21	1.800	18.207
     203	00:35:07:22	A001C025_211130_ROI7	00:35:07:22	1.799	18.280
     204	00:35:07:23	A001C025_211130_ROI7	00:35:07:23	1.798	18.362
     205	00:35:07:24	A001C025_211130_ROI7	00:35:07:24	1.798	18.451
     206	00:35:08:00	A001C025_211130_ROI7	00:35:08:00	1.797	18.557
     207	00:35:08:01	A001C025_211130_ROI7	00:35:08:01	1.796	18.663
     208	00:35:08:02	A001C025_211130_ROI7	00:35:08:02	1.796	18.762
     209	00:35:08:03	A001C025_211130_ROI7	00:35:08:03	1.796	18.842
     210	00:35:08:04	A001C025_211130_ROI7	00:35:08:04	1.795	18.925
     211	00:35:08:05	A001C025_211130_ROI7	00:35:08:05	1.794	19.013
     212	00:35:08:06	A001C025_211130_ROI7	00:35:08:06	1.792	19.094
     213	00:35:08:07	A001C025_211130_ROI7	00:35:08:07	1.790	19.167
     214	00:35:08:08	A001C025_211130_ROI7	00:35:08:08	1.787	19.232
     215	00:35:08:09	A001C025_211130_ROI7	00:35:08:09	1.785	19.284
     216	00:35:08:10	A001C025_211130_ROI7	00:35:08:10	1.782	19.334
     217	00:35:08:11	A001C025_211130_ROI7	00:35:08:11	1.779	19.379
     218	00:35:08:12	A001C025_211130_ROI7	00:35:08:12	1.777	19.421
     219	00:35:08:13	A001C025_211130_ROI7	00:35:08:13	1.774	19.457
     220	00:35:08:14	A001C025_211130_ROI7	00:35:08:14	1.771	19.484
     221	00:35:08:15	A001C025_211130_ROI7	00:35:08:15	1.768	19.508
     222	00:35:08:16	A001C025_211130_ROI7	00:35:08:16	1.765	19.534
     223	00:35:08:17	A001C025_211130_ROI7	00:35:08:17	1.761	19.561
     224	00:35:08:18	A001C025_211130_ROI7	00:35:08:18	1.756	19.591
     225	00:35:08:19	A001C025_211130_ROI7	00:35:08:19	1.752	19.621
     226	00:35:08:20	A001C025_211130_ROI7	00:35:08:20	1.747	19.650
     227	00:35:08:21	A001C025_211130_ROI7	00:35:08:21	1.744	19.674
     228	00:35:08:22	A001C025_211130_ROI7	00:35:08:22	1.740	19.689
     229	00:35:08:23	A001C025_211130_ROI7	00:35:08:23	1.737	19.700
     230	00:35:08:24	A001C025_211130_ROI7	00:35:08:24	1.734	19.709
     231	00:35:09:00	A001C025_211130_ROI7	00:35:09:00	1.731	19.724
     232	00:35:09:01	A001C025_211130_ROI7	00:35:09:01	1.728	19.743
     233	00:35:09:02	A001C025_211130_ROI7	00:35:09:02	1.725	19.768
     234	00:35:09:03	A001C025_211130_ROI7	00:35:09:03	1.721	19.795
     235	00:35:09:04	A001C025_211130_ROI7	00:35:09:04	1.717	19.822
     236	00:35:09:05	A001C025_211130_ROI7	00:35:09:05	1.712	19.852
     237	00:35:09:06	A001C025_211130_ROI7	00:35:09:06	1.707	19.882
     238	00:35:09:07	A001C025_211130_ROI7	00:35:09:07	1.704	19.910
     239	00:35:09:08	A001C025_211130_ROI7	00:35:09:08	1.700	19.940
     240	00:35:09:09	A001C025_211130_ROI7	00:35:09:09	1.698	19.963
     241	00:35:09:10	A001C025_211130_ROI7	00:35:09:10	1.695	19.976
     242	00:35:09:11	A001C025_211130_ROI7	00:35:09:11	1.693	19.983
     243	00:35:09:12	A001C025_211130_ROI7	00:35:09:12	1.691	19.990
     244	00:35:09:13	A001C025_211130_ROI7	00:35:09:13	1.689	19.999
     245	00:35:09:14	A001C025_211130_ROI7	00:35:09:14	1.686	20.010
     246	00:35:09:15	A001C025_211130_ROI7	00:35:09:15	1.683	20.027
     247	00:35:09:16	A001C025_211130_ROI7	00:35:09:16	1.679	20.048
     248	00:35:09:17	A001C025_211130_ROI7	00:35:09:17	1.676	20.075
     249	00:35:09:18	A001C025_211130_ROI7	00:35:09:18	1.673	20.118
     250	00:35:09:19	A001C025_211130_ROI7	00:35:09:19	1.671	20.169
     251	00:35:09:20	A001C025_211130_ROI7	00:35:09:20	1.670	20.223
     252	00:35:09:21	A001C025_211130_ROI7	00:35:09:21	1.669	20.276
     253	00:35:09:22	A001C025_211130_ROI7	00:35:09:22	1.667	20.326
     254	00:35:09:23	A001C025_211130_ROI7	00:35:09:23	1.666	20.366
     255	00:35:09:24	A001C025_211130_ROI7	00:35:09:24	1.665	20.401
     256	00:35:10:00	A001C025_211130_ROI7	00:35:10:00	1.665	20.431
     257	00:35:10:01	A001C025_211130_ROI7	00:35:10:01	1.665	20.459
     258	00:35:10:02	A001C025_211130_ROI7	00:35:10:02	1.664	20.494
     259	00:35:10:03	A001C025_211130_ROI7	00:35:10:03	1.664	20.536
     260	00:35:10:04	A001C025_211130_ROI7	00:35:10:04	1.664	20.577
     261	00:35:10:05	A001C025_211130_ROI7	00:35:10:05	1.664	20.626
     262	00:35:10:06	A001C025_211130_ROI7	00:35:10:06	1.663	20.681
     263	00:35:10:07	A001C025_211130_ROI7	00:35:10:07	1.662	20.741
     264	00:35:10:08	A001C025_211130_ROI7	00:35:10:08	1.662	20.792
     265	00:35:10:09	A001C025_211130_ROI7	00:35:10:09	1.661	20.840
     266	00:35:10:10	A001C025_211130_ROI7	00:35:10:10	1.660	20.883
     267	00:35:10:11	A001C025_211130_ROI7	00:35:10:11	1.659	20.917
